Product;Part Name;Qty;Step 1;Sec;Step 2;Sec;Step 3;Sec;Step 4;Sec;Step 5;Sec
KFC Bowtie Diner; Ruggie;2;Tube Laser M-Rise;30;Tube Bender E-Turn 32;20;;;;;;
KFC Bowtie Diner; s/r;2;Tube Laser M-Rise;25;;;;;;;;
KFC Bowtie Diner; Pote;4;Cut-Off SLS;15;Swage Semi Auto;20;Tube Laser M-Rise;25;;;;
KFC Bowtie Diner;Assembly;1;Robot Welder 1400;500;Grinders Manual;120;Spray Paint;180;;;;
KFC Bowtie Bar 650; Ruggie;2;Tube Laser M-Rise;30;Tube Bender E-Turn 32;25;;;;;;
KFC Bowtie Bar 650; s/r;2;Tube Laser M-Rise;25;;;;;;;;
KFC Bowtie Bar 650;Pote;4;Cut-Off SLS;30;Swage Semi Auto;20;Tube Laser M-Rise;45;;;;
KFC Bowtie Bar 650; assembly;1;Robot Welder 1400;500;Grinders Manual;120;Spray Paint;200;;;;
Kelly Arm; Bo raam;1;Cut-Off SLS;20;Tube Bender E-Turn 40;100;;;;;;
Kelly Arm; Onder raam;1;Cut-Off SLS;20;Tube Bender E-Turn 40;70;;;;;;
Kelly Arm; raam size;2;Welder Dino;70;;;;;;;;
Kelly Arm; assembly;1;Welder Dino;360;Grinders Manual;60;;;;;;
Boxx Top Frame; Bo raam;1;Cut-Off SLS;20;Tube Bender E-Turn 40;110;;;;;;
Boxx Top Frame;Onder raam;1;Cut-Off SLS;20;Tube Bender E-Turn 40;70;;;;;;
Boxx Top Frame;assembly;1;Welder Dino;300;Grinders Manual;60;;;;;;
Kirsten; voor poot;2;Cut-Off SLS;25;Swage Semi Auto;20;;;;;;
Kirsten; agter poot;2;Cut-Off SLS;25;Swage Semi Auto;20;Tube End Closing;30;;;;
Kirsten;kruis;1;Tube Laser M-Rise;45;;;;;;;;
Kirsten; Bo raam;1;Cut-Off SLS;25;Tube Bender E-Turn 40;110;;;;;;
Kirsten; assembly;1;Welder Francis;350;;;;;;;;
Globe Diner; kruis;1;Cut-Off SLS;25;Tube Bender E-Turn 32;60;Welder Francis;240;Grinders Manual;60;;
Globe Diner;Pote;4;Cut-Off SLS;25;Swage Semi Auto;20;Tube Laser M-Rise;25;;;;
